id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/5097,Organization,5097,LIBE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Civil Liberties, Justice and Home Affairs","Committee on Civil Liberties, Justice and Home Affairs",time-period/20190702-20220119,2022-01-19,2019-07-02
org/137,Organization,137,SC1A,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Security and Disarmament,Subcommittee on Security and Disarmament,time-period/19920115-19940718,1994-07-18,1992-01-15
org/1235,Organization,1235,BUDG,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgets,Committee on Budgets,time-period/20040720-20070114,2007-01-14,2004-07-20
org/138,Organization,138,SC1B,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Human Rights,Subcommittee on Human Rights,time-period/19920115-19940718,1994-07-18,1992-01-15
org/6980,Organization,6980,CJ25,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6582,AGRI,Joint AGRI - FEMM,Joint committee procedure - AGRI and FEMM,time-period/20240716,,2024-07-16
org/6980,Organization,6980,CJ25,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6588,FEMM,Joint AGRI - FEMM,Joint committee procedure - AGRI and FEMM,time-period/20240716,,2024-07-16
org/3772,Organization,3772,CJ02,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3759,JURI,Joint JURI - FEMM,Procedure with joint meetings - JURI and FEMM,time-period/20120119-20140630,2014-06-30,2012-01-19
org/3772,Organization,3772,CJ02,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3762,FEMM,Joint JURI - FEMM,Procedure with joint meetings - JURI and FEMM,time-period/20120119-20140630,2014-06-30,2012-01-19
org/4854,Organization,4854,CJ06,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3956,TRAN,Joint IMCO - TRAN,Procedure with joint meetings - IMCO and TRAN,time-period/20140701-20170118,2017-01-18,2014-07-01
org/4854,Organization,4854,CJ06,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3955,IMCO,Joint IMCO - TRAN,Procedure with joint meetings - IMCO and TRAN,time-period/20140701-20170118,2017-01-18,2014-07-01
org/3960,Organization,3960,CULT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Culture and Education,Committee on Culture and Education,time-period/20140701-20170118,2017-01-18,2014-07-01
org/6994,Organization,6994,CJ39,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6574,ENVI,Joint EMPL - ENVI,Joint committee procedure - EMPL and ENVI,time-period/20240716-20250119,2025-01-19,2024-07-16
