country_id,country_iso3c,country_name_en,polgroup_id,political_group,natparty_id,national_party,national_party_long
5,CZE,Czechia,7150,PfE,6794,ANO 2011,ANO 2011
14,HUN,Hungary,7150,PfE,6818,KDNP,Kereszténydemokrata Néppárt
11,FRA,France,7150,PfE,6848,RN,Rassemblement national
22,POL,Poland,7150,PfE,6856,Konfederacja,Konfederacja Wolność i Niepodległość
16,ITA,Italy,7150,PfE,6870,L,Lega
8,ESP,Spain,7150,PfE,6871,VOX,VOX
23,PRT,Portugal,7150,PfE,6927,Chega,Chega
19,LVA,Latvia,7150,PfE,6930,LPV,Latvija pirmajā vietā
12,GRC,Greece,7150,PfE,7013,Phoní Loyikís,Foní Loyikís
11,FRA,France,7150,PfE,7023,Sans parti,Sans parti
5,CZE,Czechia,7150,PfE,7033,PSH,Přísaha
5,CZE,Czechia,7150,PfE,7034,AUTO,Motoristé sobě
3,BGR,Bulgaria,7151,ESN,6648,Revival,Revival
6,DEU,Germany,7151,ESN,6802,AfD,Alternative für Deutschland
14,HUN,Hungary,7151,ESN,6854,MHM,Mi Hazánk Mozgalom
22,POL,Poland,7151,ESN,6856,Konfederacja,Konfederacja Wolność i Niepodległość
5,CZE,Czechia,7151,ESN,6864,SPD,Svoboda a přímá demokracie
25,SVK,Slovakia,7151,ESN,6895,HREP,Hnutie Republika
11,FRA,France,7151,ESN,6902,R,Reconquête!
17,LTU,Lithuania,7151,ESN,7021,TTS,Tautos ir teisingumo sąjunga
